full_text,clean,token,stop,stemmed,normal,teks
@mazzini_gsp Kan emang kuncinya big data buat jualan,mazzini_gsp kan emang kuncinya big data buat jualan,"['mazzini_gsp', 'kan', 'emang', 'kuncinya', 'big', 'data', 'buat', 'jualan']","['mazzini_gsp', 'kan', 'emang', 'kuncinya', 'big', 'data', 'buat', 'jualan']","['mazzini gsp', 'kan', 'emang', 'kunci', 'big', 'data', 'buat', 'jual']",mazzini_gsp kan emang kuncinya big data buat jualan,mazzini gsp kan emang kunci big data buat jual
@mazzini_gsp Memang sulit utk melindungi seperti ini. Karena akan tergantung dengan arah kebijakan pemerintah. Sejauh mana pemerintah bisa melimdungi UMKM tapi di sisi lain juga mengizinkan Tiktok untuk beroperasi dengan batasan.,mazzini_gsp memang sulit utk melindungi seperti ini karena akan tergantung dengan arah kebijakan pemerintah sejauh mana pemerintah bisa melimdungi umkm tapi di sisi lain juga mengizinkan tiktok untuk beroperasi dengan batasan,"['mazzini_gsp', 'memang', 'sulit', 'utk', 'melindungi', 'seperti', 'ini', 'karena', 'akan', 'tergantung', 'dengan', 'arah', 'kebijakan', 'pemerintah', 'sejauh', 'mana', 'pemerintah', 'bisa', 'melimdungi', 'umkm', 'tapi', 'di', 'sisi', 'lain', 'juga', 'mengizinkan', 'tiktok', 'untuk', 'beroperasi', 'dengan', 'batasan']","['mazzini_gsp', 'memang', 'sulit', 'utk', 'melindungi', 'tergantung', 'arah', 'kebijakan', 'pemerintah', 'sejauh', 'mana', 'pemerintah', 'melimdungi', 'umkm', 'sisi', 'mengizinkan', 'tiktok', 'beroperasi', 'batasan']","['mazzini gsp', 'memang', 'sulit', 'utk', 'lindung', 'gantung', 'arah', 'bijak', 'perintah', 'jauh', 'mana', 'perintah', 'melimdungi', 'umkm', 'sisi', 'izin', 'tiktok', 'operasi', 'batas']",mazzini_gsp memang sulit utk melindungi seperti ini karena akan tergantung dengan arah kebijakan pemerintah sejauh mana pemerintah bisa melimdungi umkm tapi di sisi lain juga mengizinkan tiktok untuk beroperasi dengan batasan,mazzini gsp memang sulit utk lindung gantung arah bijak perintah jauh mana perintah melimdungi umkm sisi izin tiktok operasi batas
@mazzini_gsp Harusnya UMKM belajar banyak dari Tiktok bagaimana Pembeli bisa berinteraksi dengan Penjual dengan memperlihatkan Produknya jadi konsumen tidak hanya lihat gambar akan tetapi Live,mazzini_gsp harusnya umkm belajar banyak dari tiktok bagaimana pembeli bisa berinteraksi dengan penjual dengan memperlihatkan produknya jadi konsumen tidak hanya lihat gambar akan tetapi live,"['mazzini_gsp', 'harusnya', 'umkm', 'belajar', 'banyak', 'dari', 'tiktok', 'bagaimana', 'pembeli', 'bisa', 'berinteraksi', 'dengan', 'penjual', 'dengan', 'memperlihatkan', 'produknya', 'jadi', 'konsumen', 'tidak', 'hanya', 'lihat', 'gambar', 'akan', 'tetapi', 'live']","['mazzini_gsp', 'harusnya', 'umkm', 'belajar', 'banyak', 'tiktok', 'bagaimana', 'pembeli', 'berinteraksi', 'penjual', 'memperlihatkan', 'produknya', 'jadi', 'konsumen', 'lihat', 'gambar', 'live']","['mazzini gsp', 'harus', 'umkm', 'ajar', 'banyak', 'tiktok', 'bagaimana', 'beli', 'interaksi', 'jual', 'lihat', 'produk', 'jadi', 'konsumen', 'lihat', 'gambar', 'live']",mazzini_gsp harusnya umkm belajar banyak dari tiktok bagaimana pembeli bisa berinteraksi dengan penjual dengan memperlihatkan produknya jadi konsumen tidak hanya lihat gambar akan tetapi live,mazzini gsp harus umkm ajar banyak tiktok bagaimana beli interaksi jual lihat produk jadi konsumen lihat gambar live
@mazzini_gsp Amazon sudah lakukan  kalau nda salah ramainya di India waktu itu,mazzini_gsp amazon sudah lakukan kalau nda salah ramainya di india waktu itu,"['mazzini_gsp', 'amazon', 'sudah', 'lakukan', 'kalau', 'nda', 'salah', 'ramainya', 'di', 'india', 'waktu', 'itu']","['mazzini_gsp', 'amazon', 'lakukan', 'kalau', 'nda', 'salah', 'ramainya', 'india', 'waktu']","['mazzini gsp', 'amazon', 'laku', 'kalau', 'nda', 'salah', 'ramai', 'india', 'waktu']",mazzini_gsp amazon sudah lakukan kalau tidak salah ramainya di india waktu itu,mazzini gsp amazon laku kalau nda salah ramai india waktu
@mazzini_gsp Banned aja lah. TikTok kalo mau ada di Indo maka ecommercenya ya harus 100% umkm indonesia. Kalo bocor dari china ya buat apa.   Sekali2 tegas ke negara komunis.. mereka larang google aja berani. Masa indo sebesar ini larang tiktod gabisa. Ka,mazzini_gsp banned aja lah tiktok kalo mau ada di indo maka ecommercenya ya harus umkm indonesia kalo bocor dari china ya buat apa sekali tegas ke negara komunis mereka larang google aja berani masa indo sebesar ini larang tiktod gabisa ka,"['mazzini_gsp', 'banned', 'aja', 'lah', 'tiktok', 'kalo', 'mau', 'ada', 'di', 'indo', 'maka', 'ecommercenya', 'ya', 'harus', 'umkm', 'indonesia', 'kalo', 'bocor', 'dari', 'china', 'ya', 'buat', 'apa', 'sekali', 'tegas', 'ke', 'negara', 'komunis', 'mereka', 'larang', 'google', 'aja', 'berani', 'masa', 'indo', 'sebesar', 'ini', 'larang', 'tiktod', 'gabisa', 'ka']","['mazzini_gsp', 'banned', 'aja', 'lah', 'tiktok', 'kalo', 'mau', 'indo', 'ecommercenya', 'umkm', 'indonesia', 'kalo', 'bocor', 'china', 'buat', 'apa', 'sekali', 'tegas', 'negara', 'komunis', 'larang', 'google', 'aja', 'berani', 'masa', 'indo', 'sebesar', 'larang', 'tiktod', 'gabisa', 'ka']","['mazzini gsp', 'banned', 'aja', 'lah', 'tiktok', 'kalo', 'mau', 'indo', 'ecommercenya', 'umkm', 'indonesia', 'kalo', 'bocor', 'china', 'buat', 'apa', 'sekali', 'tegas', 'negara', 'komunis', 'larang', 'google', 'aja', 'berani', 'masa', 'indo', 'besar', 'larang', 'tiktod', 'gabisa', 'ka']",mazzini_gsp banned aja lah tiktok kalo mau ada di indo maka ecommercenya ya harus umkm indonesia kalo bocor dari china ya buat apa sekali tegas ke negara komunis mereka larang google aja berani masa indo sebesar ini larang tiktod gabisa ka,mazzini gsp banned aja lah tiktok kalo mau indo ecommercenya umkm indonesia kalo bocor china buat apa sekali tegas negara komunis larang google aja berani masa indo besar larang tiktod gabisa ka
@mazzini_gsp uninstall,mazzini_gsp uninstall,"['mazzini_gsp', 'uninstall']","['mazzini_gsp', 'uninstall']","['mazzini gsp', 'uninstall']",mazzini_gsp uninstall,mazzini gsp uninstall
@mazzini_gsp Kalo rumahku didor dapur... Ga langsung voting suara koloni kn?... Takutnya roboh lagi pagar..,mazzini_gsp kalo rumahku didor dapur ga langsung voting suara koloni kn takutnya roboh lagi pagar,"['mazzini_gsp', 'kalo', 'rumahku', 'didor', 'dapur', 'ga', 'langsung', 'voting', 'suara', 'koloni', 'kn', 'takutnya', 'roboh', 'lagi', 'pagar']","['mazzini_gsp', 'kalo', 'rumahku', 'didor', 'dapur', 'ga', 'langsung', 'voting', 'suara', 'koloni', 'kn', 'takutnya', 'roboh', 'pagar']","['mazzini gsp', 'kalo', 'rumah', 'dor', 'dapur', 'ga', 'langsung', 'voting', 'suara', 'koloni', 'kn', 'takut', 'roboh', 'pagar']",mazzini_gsp kalo rumahku didor dapur tidak langsung voting suara koloni kn takutnya roboh lagi pagar,mazzini gsp kalo rumah dor dapur ga langsung voting suara koloni kn takut roboh pagar
@mazzini_gsp Pertama: Koruptor = hukum seumur hidup tanpa grasi  Kedua: Benahi pelaksanaan &amp; pengkontrolan peraturan  Ketiga: Maintain keberlangsungan dan inovasi  Keempat: Gagal di yg pertama = Indonesia,mazzini_gsp pertama koruptor hukum seumur hidup tanpa grasi kedua benahi pelaksanaan amp pengkontrolan peraturan ketiga maintain keberlangsungan dan inovasi keempat gagal di yg pertama indonesia,"['mazzini_gsp', 'pertama', 'koruptor', 'hukum', 'seumur', 'hidup', 'tanpa', 'grasi', 'kedua', 'benahi', 'pelaksanaan', 'amp', 'pengkontrolan', 'peraturan', 'ketiga', 'maintain', 'keberlangsungan', 'dan', 'inovasi', 'keempat', 'gagal', 'di', 'yg', 'pertama', 'indonesia']","['mazzini_gsp', 'pertama', 'koruptor', 'hukum', 'seumur', 'hidup', 'grasi', 'kedua', 'benahi', 'pelaksanaan', 'amp', 'pengkontrolan', 'peraturan', 'ketiga', 'maintain', 'keberlangsungan', 'inovasi', 'keempat', 'gagal', 'yg', 'pertama', 'indonesia']","['mazzini gsp', 'pertama', 'koruptor', 'hukum', 'umur', 'hidup', 'grasi', 'dua', 'benah', 'laksana', 'amp', 'kontrol', 'atur', 'tiga', 'maintain', 'langsung', 'inovasi', 'empat', 'gagal', 'yg', 'pertama', 'indonesia']",mazzini_gsp pertama koruptor hukum seumur hidup tanpa grasi kedua benahi pelaksanaan amp pengkontrolan peraturan ketiga maintain keberlangsungan dan inovasi keempat gagal di yg pertama indonesia,mazzini gsp pertama koruptor hukum umur hidup grasi dua benah laksana amp kontrol atur tiga maintain langsung inovasi empat gagal yg pertama indonesia
@mazzini_gsp Mungkin hanya di Indonesia medsos bisa bebas bablas bikin apa saja. Beda dengan Eropa aturannya tegas  kalau dilanggar sangsinya bisa bertumpuk 😀,mazzini_gsp mungkin hanya di indonesia medsos bisa bebas bablas bikin apa saja beda dengan eropa aturannya tegas kalau dilanggar sangsinya bisa bertumpuk,"['mazzini_gsp', 'mungkin', 'hanya', 'di', 'indonesia', 'medsos', 'bisa', 'bebas', 'bablas', 'bikin', 'apa', 'saja', 'beda', 'dengan', 'eropa', 'aturannya', 'tegas', 'kalau', 'dilanggar', 'sangsinya', 'bisa', 'bertumpuk']","['mazzini_gsp', 'mungkin', 'indonesia', 'medsos', 'bebas', 'bablas', 'bikin', 'apa', 'beda', 'eropa', 'aturannya', 'tegas', 'kalau', 'dilanggar', 'sangsinya', 'bertumpuk']","['mazzini gsp', 'mungkin', 'indonesia', 'medsos', 'bebas', 'bablas', 'bikin', 'apa', 'beda', 'eropa', 'atur', 'tegas', 'kalau', 'langgar', 'sangsi', 'tumpuk']",mazzini_gsp mungkin hanya di indonesia medsos bisa bebas bablas bikin apa saja beda dengan eropa aturannya tegas kalau dilanggar sangsinya bisa bertumpuk,mazzini gsp mungkin indonesia medsos bebas bablas bikin apa beda eropa atur tegas kalau langgar sangsi tumpuk
@mazzini_gsp Ga usah takut sama tiktok kali.. Pemerintah aja pnya data lengkap tak berbuat apa-apa juga wkwkkwk,mazzini_gsp ga usah takut sama tiktok kali pemerintah aja pnya data lengkap tak berbuat apaapa juga wkwkkwk,"['mazzini_gsp', 'ga', 'usah', 'takut', 'sama', 'tiktok', 'kali', 'pemerintah', 'aja', 'pnya', 'data', 'lengkap', 'tak', 'berbuat', 'apaapa', 'juga', 'wkwkkwk']","['mazzini_gsp', 'ga', 'usah', 'takut', 'sama', 'tiktok', 'kali', 'pemerintah', 'aja', 'pnya', 'data', 'lengkap', 'tak', 'berbuat', 'apaapa', 'wkwkkwk']","['mazzini gsp', 'ga', 'usah', 'takut', 'sama', 'tiktok', 'kali', 'perintah', 'aja', 'pnya', 'data', 'lengkap', 'tak', 'buat', 'apaapa', 'wkwkkwk']",mazzini_gsp tidak usah takut sama tiktok kali pemerintah aja pnya data lengkap tak berbuat apaapa juga wkwkkwk,mazzini gsp ga usah takut sama tiktok kali perintah aja pnya data lengkap tak buat apaapa wkwkkwk
@mazzini_gsp Salah satu bentuk intimidasi negara kuat via pasar bebas  teknologi sebagai gerbongnya. RI tak akn bisa melawan pasar bebas tp hny bisa meminimalisir dampaknya dgn: undang2  kecintaan yg kuat kpd tanah air &amp; SDA  kualitas SDM &amp; otorit,mazzini_gsp salah satu bentuk intimidasi negara kuat via pasar bebas teknologi sebagai gerbongnya ri tak akn bisa melawan pasar bebas tp hny bisa meminimalisir dampaknya dgn undang kecintaan yg kuat kpd tanah air amp sda kualitas sdm amp otorit,"['mazzini_gsp', 'salah', 'satu', 'bentuk', 'intimidasi', 'negara', 'kuat', 'via', 'pasar', 'bebas', 'teknologi', 'sebagai', 'gerbongnya', 'ri', 'tak', 'akn', 'bisa', 'melawan', 'pasar', 'bebas', 'tp', 'hny', 'bisa', 'meminimalisir', 'dampaknya', 'dgn', 'undang', 'kecintaan', 'yg', 'kuat', 'kpd', 'tanah', 'air', 'amp', 'sda', 'kualitas', 'sdm', 'amp', 'otorit']","['mazzini_gsp', 'salah', 'satu', 'bentuk', 'intimidasi', 'negara', 'kuat', 'via', 'pasar', 'bebas', 'teknologi', 'gerbongnya', 'ri', 'tak', 'akn', 'melawan', 'pasar', 'bebas', 'tp', 'hny', 'meminimalisir', 'dampaknya', 'dgn', 'undang', 'kecintaan', 'yg', 'kuat', 'kpd', 'tanah', 'air', 'amp', 'sda', 'kualitas', 'sdm', 'amp', 'otorit']","['mazzini gsp', 'salah', 'satu', 'bentuk', 'intimidasi', 'negara', 'kuat', 'via', 'pasar', 'bebas', 'teknologi', 'gerbong', 'ri', 'tak', 'akn', 'lawan', 'pasar', 'bebas', 'tp', 'hny', 'meminimalisir', 'dampak', 'dgn', 'undang', 'cinta', 'yg', 'kuat', 'kpd', 'tanah', 'air', 'amp', 'sda', 'kualitas', 'sdm', 'amp', 'otorit']",mazzini_gsp salah satu bentuk intimidasi negara kuat via pasar bebas teknologi sebagai gerbongnya ri tak akn bisa melawan pasar bebas tapi hny bisa meminimalisir dampaknya dgn undang kecintaan yg kuat kpd tanah air amp sda kualitas sdm amp otorit,mazzini gsp salah satu bentuk intimidasi negara kuat via pasar bebas teknologi gerbong ri tak akn lawan pasar bebas tp hny meminimalisir dampak dgn undang cinta yg kuat kpd tanah air amp sda kualitas sdm amp otorit
@mazzini_gsp Lah apa-apa punya rakyat kok 'diinteli'?,mazzini_gsp lah apaapa punya rakyat kok diinteli,"['mazzini_gsp', 'lah', 'apaapa', 'punya', 'rakyat', 'kok', 'diinteli']","['mazzini_gsp', 'lah', 'apaapa', 'punya', 'rakyat', 'kok', 'diinteli']","['mazzini gsp', 'lah', 'apaapa', 'punya', 'rakyat', 'kok', 'intel']",mazzini_gsp lah apaapa punya rakyat kok diinteli,mazzini gsp lah apaapa punya rakyat kok intel
