full_text;username
@mazzini_gsp persis kayak yg dilakuin amazon;badan__pegel
@mazzini_gsp Spt kasus nya amazon ?;apri_lim
@mazzini_gsp Sempat kepikiran ini juga;ekiiiiw
@mazzini_gsp @mazzini_gsp disini juga pemerintah cuma mengagungkan UMKM2 terosss tp gatau wadahnya dmn tempatnya jualan gmn biar sama2 jalan biar tau ekonomi rakyat kecil kyk sy ini gmn...seolah2 di sini pemerintah cuma lemes ngga ada proteksi;Ivanhamami
@mazzini_gsp Ya bukan TikTok doangkan  ini kan udah rame juga si ijo dan orange jauh2 hari.;FaksiEren
@mazzini_gsp Habis US sekarang giliran Indo kah! RT ⛱️   https://t.co/eONyUzzLxD;tclrockk
@mazzini_gsp blokir ae tiktod apk rajelas.. 🤦🤦🤦;ngip_ngop_
@mazzini_gsp Jadi inget cerita ad yg jualan di mall  produk dan harganya ditiru pihak mall  sedangkan biaya sewa dia dinaikin. Alhasil produk sama tp harga lebih mahal daripada punya nya mall.;muarlis
@mazzini_gsp Semua jg gitu  meskipun ada app besutan anak negeri pun pasti terjadi hal yang sama. Seharusnya negara hadir disini tanpa proyek tapi proyeksi.;alexpriestly
@mazzini_gsp Mirip kasus Ama*** yg bikin produk mirip dari produk yang laku di marketplace mereka. Ada bbrp toko modern yg jual produk sama tapi dgn mereka toko modern tsb  apakah ini sama kasusnya?;lutfi123456
@mazzini_gsp Kadang lihat konten yg pamer” pendapatan beratus” juta di Tiktok kek “kok gampang bgt nyari duit disono”  gwe yg lihat jadi fomo trus iseng upload konten dagang flop bgt njirrr klo soal dagang views gaada 30 biasanya paling dikit 200 an 🤡🤣🤣 trus yaudah gwe fokus kerja aja;ErwindoNessia
@mazzini_gsp males bersaing disini  harga pada murah nya  susah bersaing harga disini;eritudwi
@mazzini_gsp Antisipasi sebagai owner business tuh emg harus luas bgt😢;Mutiarasyif
@mazzini_gsp UMKM bikin aplikasi sendiri lah  boikot TT dulu  toh TT banyak curang nya  gift di korupsi juga;catbarbar
@mazzini_gsp Yg lucu  tiba2 ada barang COD atas nama gw  nomor gw  dan alamat gw dari Tiktok Shop. Padahal gw punya akun Tiktok aja enggak  boro2 pesen barang dari TS.....;pptndh
@mazzini_gsp Project S itu apa?;celukwaelif
@mazzini_gsp Wkwkw k pdhl lg mau coba jualan di tiktok😆;otistamelayu
@mazzini_gsp Pemerintah gimana dah? Marketplace luar diciptakan memang seperti itu. Makanya jauh jauh hari elon pernah berkata bahwa data adalah hiden gem. Di semua sosmed dan marketplace data udah di dapet waktunya jualan produk sendiri. Umkm tu cuma buat test ombak . @KemenkopUKM;migelee2
"@mazzini_gsp Ya tinggal tiru dan adaptasi aja cara EU. Kalau mau pasar lokalnya susah ditembus  ya salah 1nya perkuat di SPESIFIKASI produk. Biar bisa ngelairin specs yg bagus gimana  ya perkuat riset &amp; pendidikan. Aih  kok susah ya. Iya yang gampang itu korupsi atau Pungli pakai jabatannya.";seratoptik
@mazzini_gsp Mirip Alfamart dan Indomaret yak;ivnu_kun
@mazzini_gsp Yg paling kena importir doang ini  kalau ngomong produk UMKM kalah nggak lah  banyak kok brand lokal yg lagi jos bisnis nya bbrp tahun ini;Wilbertpradana
@mazzini_gsp mereka olah data mana top produk yang kejual lalu mereka tinggal impor dari china  oem lebelin;msrrohman
@mazzini_gsp Emang pemerintah bisa apa;triazdum
@mazzini_gsp a. tiktok terlalu sibuk untuk itu B. mending khawatir in pemerintah yang pegang data kita. data kita udah open source ke mana msna;beifongishere
@mazzini_gsp Terkadang harganya juga lebih murah dari e-commers lain  jadi makin laris deh.;weenesdaydairy
@mazzini_gsp Kaya amazon ya..;whY_nYo
@mazzini_gsp pardon my knowledge lacking  tapi project S tiktok ini seperti apa;AuditorBatuAkik
@mazzini_gsp Paling bener emg jualan d platform sendiri;ican_popin
@mazzini_gsp Semua platform kek nya seperti ini. Krn salah satu hal yg bisa dijual mahal ya data analytic yg dikumpulkan oleh mereka.;blegedetz
@mazzini_gsp Indomaret sama alfa bukannya udah praktekin ini ya  meski yg dia copast produk industri.;SetengahTeknik
@mazzini_gsp Bukannya ini sudah terjadi di sopi 😆;rian_skot
@mazzini_gsp Dan harus berlaku ke ind*mar*t dan toko sebelahnya.;mastatagcom
@mazzini_gsp Shopee  Lazada udah dari dulu pak   pemerintah sepertinya jg ga peduli2 amat soal beginian.;tomingartun
@mazzini_gsp Dari awal macem Shopee impor itu juga udh salah. Semua negara sekarang udh de-globalisasi  saling membuat aturan proteksi;mandorkuliWFH
@mazzini_gsp Kaya shoppii;KIMAre_Am
@mazzini_gsp Seperti yg dulu dikeluhkan food merchant di aplikasi ojol   pencairan uang penjualan jg hrs nunggu bbrp hari. Penjual hrs siapkan modal dobel utk belanja bahan mentahnya.;Ijaunsi
@sosmedkeras setelah dilarang apakah pasar langsung rame?;kafeoin
@sosmedkeras Sebenernya kalo ecommerce yg ada di sosmed dri sisi ekonomi kan bisa ngebantu UMKM memasarkan produknya. Tinggal dibuat regulasi aja pak. Ga semua kan punya akses belanja ke Tanah Abang;chalingchairil
@sosmedkeras Tutup akun judi sama Pinjol pak  ngapain tiktok shop;Buya_Pena
@sosmedkeras keputusan tepat kah??:) atau blunder lagi??:);wadidaw4567
@sosmedkeras https://t.co/cMucD1VZLE;Selerawmu
@sosmedkeras Sehat selalu pak jokowi;iya123456743
@sosmedkeras gara2 tanah abang mewek2  akhirnya satu indonesia kenak ga bisa jualan;aku_davi
@sosmedkeras Kalau bisa sulit dan ribet kenapa harus mudah dan simpel  kalau bisa itu terintegrasi dalam 1 sistem aplikasi  bukan kayak di negara Konoha  ktp  sim  atm  e-money  bpjs  KK  akte kelahiran dll punya kartunya masing-masing  kalau bisa kan dijadikan 1 lebih simpel dan mudah;miftakussurur99
@sosmedkeras Yg bikin masalah artis jualan sembako.;gumelar_wulung
@sosmedkeras Yg di untungin Shopee Tokopedia lazada dll;kangmaskuy
@sosmedkeras Knp harus di tutup kalo menguntungkan??;ismaliawithu
"@sosmedkeras bagi gue ini kebijakan yg lumayan efektif  mengingat pada kebijakan ini ada 2 klasifikasi yg dipertahankan eksistensinya yaitu: e-commerce &amp; sebagian UMKM. mengingat tiktok/instagram yg telah merambah fungsi lain. hal ini bisa membuat keberadaan e-commerce sedikit trganggu";elaxy
@sosmedkeras Harusnya lebih di perbanyak perihal penyuluhan dan seminar kepelosok guna bisa mengikuti zaman.  Untuk solusi pasar tradisional  mungkin diatas adalah hal tepat .  Penyuluhan apa ? Membahas tentang sistem dan tata cara agar mereka tidak ketinggalan zaman. 🤔 Maybe itu si yg telat;BangetNoDebat
@sosmedkeras Terlepas dari itu yang paling utama adalah ngajarin penjual2 itu bagaimana menggunalan teknologi dalam usaha mreka ga sihhh;sllnjoy
@sosmedkeras gitu;soorenkini
@sosmedkeras Semua gak boleh. Bapak utang puluhan triliun juga masyarakat yg nanggung pak.;intannyawu4291
@sosmedkeras Aman.... Bini gw ga jajan bae;Hayabuza78
@sosmedkeras Dengan begitu tiktok ga bisa monopoli pasar e-commerce;Ruuuiiiiii_
@sosmedkeras Yg penjual offline berkurang   yg penjyal online bertambah  Dari sisi jumah ya kan sama saja;HasanBasri81186
@sosmedkeras Blokir aja tiktoknya  aplikasi isinya jogat joget doang;16anggara
@sosmedkeras Apakah pasar tanah abang langsung rame???;carolina_watun
@sosmedkeras Bukan ini masalahnya  masalah nya gak ada proteksi thd produk lokal. Produk impor yg murah2 terutama dr China masuk bebas. Produk lokalnya masih mahal Krn biaya produksi nya masih terlalu tinggi. Aplikasi mah bisa berbagai macam wajah.;gentosugito
@sosmedkeras Katanya 4.0;pangeran1018
@sosmedkeras https://t.co/Rb1zQMOpv4;jimervian
@sosmedkeras SETUJU!!!;wilicatur
@sosmedkeras Pak @jokowi  ..... Jika Anda punya NYALI  Tolong koperasi usaha real dihidupkan kembali Pak...  habis rakyat ini jika disuruh bertarung dengan KAPITALIS dan sesama rakyat sendiri....  Berani ga Pak??? @jokowi;yusufagro
@sosmedkeras ya karena indo ikut pasar bebas  jadi dari produsen bisa langsung jualan barang ke customer langsung  tanpa lewat distributor  akhirnya para pedagang cuma bisa bengong  hal ini yg buat macet roda ekonomi ;haryanto_sindu
@sosmedkeras Sini mampir profil yg kemarin nyari viral ada nih;cekduluajaa
@sosmedkeras Kapan di terapin?;achaaagirl
@sosmedkeras Cari rejeki lho pak  masa iya dilarang?;Pattimura0274
@sosmedkeras Ngerrii langsung ditutupp  https://t.co/oPDu62JcNm;max_netizen
@sosmedkeras VPN bisa kah;LucidOrient
@sosmedkeras boleh;AndikaYenu
@sosmedkeras Mantab wes 🤣🤣🤣;patrihprusak
@sosmedkeras wahh sudah resmi diputuskan  yaa;nomadancow
@sosmedkeras Yahh;rajajulid1996
@sosmedkeras @PostTechSoFi $post;pengarap21
@sosmedkeras Adanya tiktok shop Shopee lazada dll kan biar praktis ga harus pake motor dulu ke pasar hmm;dimasperasetio1
@sosmedkeras Mungkin karena ijinnya itu hanya sebagai sosial media bukan e-commerce jadinya dipermasalahkan. Rencananya bakalan dipisah aplikasinya.   Idc  aku aja udah stop beli di Toktokshop gegara Kurir Toktokshop banyak yang gak ramah  jadi stay di toko 🍏sama 🍊;Issa_scenteu
@sosmedkeras Dilarang tapi buat promosi  yg promosiin taro harga. Sama aja jualan ngga langsung;WardoyoAldebar3
@sosmedkeras halah palung2 trys bikin satgas satgasan....ketebak;duaribu22_23
@sosmedkeras Harusnya jangan di larang  omset UMKM yg udh terdaftar di tiktok shop gak main2. Dan seharusnya pajaknya yg di besarin..;oky_setiadongs
@sosmedkeras YANG PALING BENER IALAH TUTUP TIKTOK. CUKUP TOKPED SHOPPE LAZADA  DLL AJA.;david0001452210
@sosmedkeras setuju sih;goergeclair
@sosmedkeras Padahal dari tiktok banyak jg pedagang2 kecil sekarang jadi besar;retrohomeconcep
@sosmedkeras https://t.co/GZmALGb3V0;bedinkmattress
@sosmedkeras Agak laen 🤨;MMXIV_13
@sosmedkeras Dari zaman e-commerce muncul masyarakat lebih milih belanja onlen  ini karna masalahnya di Jakarta baru pada sadar apa ya;revirezkyriady
@sosmedkeras Cuma mentri aja kan pak yg boleh merangkap merangkap jabatan @jokowi @KawanLBP @erickthohir;rizallitoz
@sosmedkeras Gara gara Tanah Abang??? Emeeejing sekali 😅;rifanwahyudi
@sosmedkeras Ketika kalah dalam berinovasi  maka salah satu cara menang yaitu dibatasi segala batas;jagungbakarpah
@sosmedkeras Gpp juga tiktokshop tetep ada  cuman harganya harus sama dengan pasar. tiktok tuh ibarat pemerintah mengadakan sembako murah  tapi dipasar harga masih melambung tinggi  ya pasti ngejar belanja ke balai kota. Harusnya harga dipasar dulu kendalikan atau diturunkan..;dannish03
@sosmedkeras Dari pada tiktok nya di salahi  mending pedagang kaki 5 nya kasih modal buat jualan Live kek HP+lampu sorot nya+pasang wifi gratis di pasar tsb. Manusia engga akan bisa menolak tekhnologi  tapi tekhnologi bisa menolak manusia itu sendiri.;Ramami_memo
@sosmedkeras Waduh gw baru checkout di tt shop gmn ee 😭😭😭😭😭;rstonemal
@sosmedkeras Malah jd yg kena dampak nya lebih banyak 🙈;rizalkmpt
@sosmedkeras Kocak kocak terus beli nya dimana kalo di tiktok cuma promosi? Di toko ijo? Oren? Sama aja online sattttt;horxor
@sosmedkeras Tokkkpppp**d fulll senyummmmm ini mah wkwkwkwk;DigitalHuman_DH
@sosmedkeras Yo ngene iki lek tuwek dicekeli hp;sandiikin
@sosmedkeras hahhhhhh;bangtanddrugs
@sosmedkeras udah maju malah disuruh mundur sama presidenya sendiri;pizzaspacecraft
@sosmedkeras paket saya lg dikemas bapak😢;hellokarraa
@sosmedkeras Sayangnya yg ngomong...;HasilnyaNol
@sosmedkeras tanks;freeiphone10s
@sosmedkeras Bikin aplikasi tiktok shop terpisah aja  kasian mamaku kalo gaboleh belanja di tiktok 🥲;alyalatte
@sosmedkeras Kalo mereka (tiktok) ngurus ijin juga dibuka lagi;Nandy_Aprian
@sosmedkeras Paling pindah ke oren kan di sonoh juga bisa livr;Nandy_Aprian
@sosmedkeras Tapi itu gak membuat tanah abang jadi rame lagi 😁;arikrniawan
@sosmedkeras Knp yg tradisionalnya saja yg dibina.;Broers27
@sosmedkeras Emng sampai hari akhir pun tiba indonesia akan menjadi negara yg sangat berkembang dan tdk akan maju. 2030 kayaknya bakalan krisis dan rusuh;labusyiam
@sosmedkeras masia;mgdaze
@sosmedkeras Setuju si  kasian org2 yg dagang dipasar apalagi yg udh lansia kan pasti nya pada gaptek  berharap semoga kebijakan ini baik dan bisa memulihkan keadaan.;Bontet101
@sosmedkeras Norak;terror_sana_sin
@sosmedkeras itu yang gak setuju  gak ikut jualan di tiktok bang  mereka cuma tukang beli aja. maunya yang murah.;hulam_mustaqim
@sosmedkeras Tuh kan gegara artis² tu kasian yg baru mau belajar cari uang lewat tiktok shop jadi bubar kan..;Astheriey
@sosmedkeras Duuuhh pak padahal TIKTOK HARGA NYA LEBIHHH MURAHHH😭;shyshycatttt
@sosmedkeras Mantap emang Pak Jokowi. Judol biarin aje  Pak.;Iraha_ri
@sosmedkeras Tiktok kan bisa murah  ko malah di larang  biar mahal;e535
@sosmedkeras Korupsi juga dilarang pak Tapi kan.. https://t.co/wsamjtvQaF;sembacco
@sosmedkeras Lah ngatur;sandialp66
@sosmedkeras padahal berdagang dan transaksi di tiktok ngebantu bgt pas covid;finnnhan
@sosmedkeras Di tok tok lebih murah;codot_25
@sosmedkeras Orang ributin ini pada ngerti masalahnya ga sih. Kmrn tuh yang jadi masalah  si tt ini algoritmanya cmn nampilin produk-produk pedagang luar dari china yang pasarnya ga masuk akal.;magistus_monaa
@sosmedkeras iya larang aja deh pak TAPI PAS PAKET GUA UDAH NYAMPE RUMAH DULU PAK. masalahnya bener-bener baru kemaren gua checkout barang pak🥲;prettyafkayl
@sosmedkeras Kayak bisa aja;apaytalemponk
